poll_end_date,publisher,client,method,sample_n,approve,disapprove,dk,source_url,notes
2025-06-10,리얼미터,,,1000.0,58.2,35.5,6.3,https://news.google.com/rss/articles/CBMiuwJBVV95cUxNYVl1cHE5SjFDNlhvbW5FTXg4UHVCTk1GMklVLVRqdS03MU16bUFWUzJtdkhLLUFMRVhHNWNLb2pWVFJ5MWw3c2E1UTdPSnk3aWNXTzhycW9IdXZtSEFMQjZjRUdZZlVpQ29rcDFvaHd0Wk5KVWhMQXBzcHc2REN4OEhYRjlVQ2FsYkdyM0Z1NlREN00tNHFYMGpYNVBNT183WHBUa1ExV0JTVUdXZkQybXpxeWRQTlpqVjhVQTBMbjhMUkc4ZFg1Y3RkZE1BVVFleW8yVVJ1RWVSdlgwQjdlaFItMW14RGg5TkRnNk9jdDZGZXM4dG5vV0VlSEpHV0ZtRnF1dGM4eDJJRElFMkZzRFIwSnVrbDVZN0NIaWQ2d08wem5XdnhTUERfLVN1WkVnUEZNcGMzYkdqY2c?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-06-17,NBS,,,1000.0,53.0,19.0,28.0,https://news.google.com/rss/articles/CBMikAFBVV95cUxNVUhBZk5mRWxiVllHSnlfOGpYbVQ2bjJhSUxtYWhNVzIySENUaFNTV3h1eTYwcy1vYXFoa3BZeWgtSFNTbV9iY0l6Y3hKNzlmUk9wR2RIdHRuRU80WXhKd2JvZ3ZFM1o3NEpmelJGODNjcUR1V0hBWlBvWi1zSkNHLWpibnQ5WGdGVHFzdmNSbjPSAaQBQVVfeXFMUGRpY0FPcDZteWFmMEEtR0NsNm9JZTZrQnlUSDNJYWNlQ1JISmF2UWdpazFnUFVLbGxDbXduemQzYjQySjV1MThnUXR0ZlNWUjVkRDZTN3VjUHVYbzdqdng5UG44Y1RFb1M2d1NuTVRBUGx1M2RlRXMxMU0zaTg3NXFzamRfZ2c3WFUwMHc0b05aaTZSTVlZRDRMR3k3TW5IOTVHTUE?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-06-24,베이비뉴스,,,1000.0,59.3,33.5,7.2,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1lcFVzVFI0UVZ1Y1k5alJjWjhWZEVlTlVlWUItWUV6bUVueTlwRGxEOUZoXzQ2Q2hQYkRNU005UHlZRTFpZEE5RTBWWFliTk14ZUJMNmVtMTRTR0h1RTVsS1V2UnJuSTA?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-07-01,리얼미터,,,1000.0,59.7,33.6,6.7,https://news.google.com/rss/articles/CBMiYEFVX3lxTE4xZmtXc3FYRXVmVEtNTGZMQi1EbWVrWW45VlNIWmhNQVlobkJHd3cxRDIwY1JPVTJKWXBxNmxOR0pNd2NMdEJ2T084SUVuTUkwdnJPTG8xNllDRmxmSkVONtIBeEFVX3lxTE1jMFRheXhCWjl5YnpmZG1UTUNSSFJvQmlKTmZQYWRFZWFJc3lMc2FyM3lRcmFnLTF3MnBYT2pfNTREUkFGMEpSbDRSRUcwMDMtX0J1eHV3M19kQWE1dS0zaWZBUlVHckk4VGg4czhFWmlnR1RZZ29NYw?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-07-08,한국갤럽,,,1000.0,65.0,23.0,12.0,https://news.google.com/rss/articles/CBMiakFVX3lxTE1WSmo3V2xiQldLb25jVC1jaktScFdxYl9qTDMybmJEZHhYRWpua1h1bEdLTnItLVVIbDNhV1pyQ1hWbGpiQnh0ZE5JZ2owQmJRWk1BbUFWdjBhTldzamFrZjVYV0VPSDhSOVHSAW5BVV95cUxNTEd3OGV2c0dDRDJfemZ6QUozOU8yUVlrTzFDaEtiUjV4UkYxbWVyaXFmcm5ETzJHUFpSQWtWMm1yeXpPZmhfTm5fQVpaUTFpaHAzOE9TVHluOEZoSm51cnhlX294Y2dsV3NNbENsZw?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-07-22,리얼미터,,,1000.0,62.2,32.3,5.5,https://news.google.com/rss/articles/CBMiY0FVX3lxTE54eTFoV1FhQm9icW5hOHhFMzJKeHkzSy13QXBnSTVPTTk3d1RsOFByOU96QW9JSmVTXzl4ZGZ4blBwYlkzVWVXSjNsM09BbGRZNU5SMVlnaVE3ZVctaHhwOW12dw?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-07-29,리얼미터,,,1000.0,61.5,33.0,5.5,https://news.google.com/rss/articles/CBMiakFVX3lxTE5QQWFReEhna0Y5dmJFQUZvZ2g5WVFackFtWGpNQzlqc0tpa09HTjdwT1F3VXBmRlBISUViYi1vMUk4Q3VIOGdnVnpNcl9pbHZnNjdyTnJkcU9vVzB5VlNHdHVhbnV5OEFZTWc?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-08-05,리얼미터,,,1000.0,63.3,31.4,5.3,https://news.google.com/rss/articles/CBMiYEFVX3lxTE0zRlhhb3FMOWI2cUNmOU1mcWV2MDdBRG41T1Y2dGowYUs4dXpuLVhzMGlwM1E3Rzg5NWYyUmh5RllWWVhvYkY4OGJyMWJZdzZqRktsS0JOQnFQMVB3MFB6StIBeEFVX3lxTFA1MzRybi1rY1oycDdmMmV6UzlOc2ZhOU5PZXBjN1IycXBqRWlEVjJJT1NEcWNyZ1FYRWhMU0NnRXQxRzdscnlZOTlWdEFqQ0FTcGZfckVieUk5eTZNckRSZ0tKbkVtcUpPQ2VGbFJyLW1PQVVWaXItbQ?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-08-19,리얼미터,,,1000.0,51.1,44.5,4.4,https://news.google.com/rss/articles/CBMiYEFVX3lxTE5QVXlnZG9YUTNKNW9rVXZ1dEFCNll0VWd2bDB3TE5CMXcyVGJqR2xlUUIzRXdMNnhrR1lyY1lHd19XSDMxenVwVGZqMUpKNDBQYk5ERGY3clcwU1ZTSUJ5UNIBeEFVX3lxTE0zTXFOeWxOVFdmRkdRcjFYX3NwNkVqQXdmcnJYN1F6THRGOURwWUlCbW9UNWlQVXZJMURPRnVGek0xcVlIWjd3T25lOE5UVGdqLVJ4RHpBM3VyVk16dC1ScjE1NTlOQ1U1WDJzUTU1MmpyYVRWMjBDYg?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-08-26,리얼미터,,,1000.0,51.4,44.9,3.7,https://news.google.com/rss/articles/CBMiYEFVX3lxTE1HYVBqZ1BYUGRtM2ZFWG1uWjRPbXp2U21FRlhkNm9oMXpTNm45MXU0OVZpSmZnUFdiUndzOTFYNnhqS1BzcGs4WEp6bG81b3lVcVJ5ZWZncVRoZmYtUV9fMNIBeEFVX3lxTFBPeFZLdlc0Sm1KYnV4blpXbzduVFpnVzJfdW5fTm85bzBjTWJOT3BrbEdUMmJYTXcyUUF3OGctckFodTV5Ukp3bXhQeEF1RTM4cVlhWDRXdUVGekhnRnJyLWpkUTM0eERhSWNKbFhsRGZoX19HcF9KeQ?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-09-02,한국갤럽,,,1000.0,59.0,11.0,30.0,https://news.google.com/rss/articles/CBMic0FVX3lxTE1UX1EtZ0E0cjl5T0lyRFZGOUpZMm5xN2IzTXJwWG05M0VibGNzenk4WjZUWGxwcUN2eGZFeF9tTmJfQ3NpVWJyeVFZUmtFYzNkRVF0Yno1VGhoUUhlNUFVTnpPckxKaE5Fa0h6Zmg0OGctaEE?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-09-09,스트레이트뉴스,,,1000.0,51.1,45.5,3.4,https://news.google.com/rss/articles/CBMic0FVX3lxTE1lZDQwSmRHTU9ETmRKOTl0blN4cFBXMWRYdldnRnZfM1JybWR3SFpTbVpObzlVem9MZ2FjbEJnYWxRd09fSGhyZWxyWktKWkZ1dnhLRGR3THc0cE8zYUVla2ZxSW5seXJyLUNoVjByTGUtSVHSAXdBVV95cUxOZ25ocFdYNXlMOW9Ib0Q5cXcxNTFZOFY0cGh2WkpCMnVnVUVwR1E0bE1ISEh3VTN4QWZlMG1iS0x5NzdIQUp6N0xmSDBKYnFoNWcxSjVCUW1mZHdYdDJXbVNxc1pKM05aYnlBRmFSU25KX2o3WGl6UQ?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-09-16,리얼미터,,,1000.0,54.5,49.5,0.0,https://news.google.com/rss/articles/CBMic0FVX3lxTE9QSUtoN280eDNDUlFzWFZBS3JJd3RzYkdadjRaUFFxbzJ4YlVzdVUtUVJFaXZfZXUwYmQ5dk1rUXBERGFCQ1g0RTVBV01HaDNWc1IxLWhSTi1paE1nOVJjdWlfNnhGNTcydVVXQzQ3aVpDQUU?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-09-23,스트레이트뉴스,,,1000.0,54.7,42.1,3.2,https://news.google.com/rss/articles/CBMic0FVX3lxTE5iWmpTSlRLbVkyZ3JiYkpJaHNyeHRESjZQYzdkSjc4MkJSUVdQNDVmOE1NcXo4azA0Z21xNWVXZUNLQnR2YldrNHI0Q0hiOGsyU1V0UnItOUYzUEhQTnRneVN1Tnl0bXlnWENfVms2U1JEbmPSAXdBVV95cUxNb3Y0VW5zZ3FRVV9MNW1YTGk4WHZlT3FZUDhROHVZRVI4QVRUVG1HV2NxakUya0Y1STRPMG1relUwNm4wSFJfZzlMWTJmWW9DME9kVEwwekpTVW03Mjd2cHU4eHBVQmxBdE5lT18ycmZ0aXpFUWxENA?oc=5,auto_from_rss_snippet;from_weekly_scraper
