week_monday,approve,disapprove,dk,n_obs,total_sample_n
2025-06-09,58.2,35.5,6.3,1.0,1000.0
2025-06-16,53.0,19.0,28.0,1.0,1000.0
2025-06-23,59.3,33.5,7.2,1.0,1000.0
2025-06-30,59.7,33.6,6.7,1.0,1000.0
2025-07-07,65.0,23.0,12.0,1.0,1000.0
2025-07-14,63.6,27.65,8.75,0.0,0.0
2025-07-21,62.2,32.3,5.5,1.0,1000.0
2025-07-28,61.5,33.0,5.5,1.0,1000.0
2025-08-04,63.3,31.4,5.3,1.0,1000.0
2025-08-11,57.2,37.95,4.849999999999994,0.0,0.0
2025-08-18,51.1,44.5,4.4,1.0,1000.0
2025-08-25,51.4,44.9,3.7,1.0,1000.0
2025-09-01,59.0,11.0,30.0,1.0,1000.0
2025-09-08,51.1,45.5,3.4,1.0,1000.0
2025-09-15,54.5,49.5,0.0,1.0,1000.0
2025-09-22,54.7,42.1,3.2,1.0,1000.0
2025-09-29,50.5,47.4,2.1,1.0,1000.0
2025-10-06,57.0,34.0,9.0,1.0,1000.0
2025-10-13,54.6,39.45,5.949999999999996,0.0,0.0
2025-10-20,52.2,44.9,2.9,1.0,1000.0
2025-10-27,50.2,46.2,3.6,1.0,1000.0
2025-11-03,51.35,44.85,3.799999999999997,0.0,0.0
2025-11-10,52.5,43.5,4.0,1.0,1000.0
2025-11-17,59.0,32.0,9.0,1.0,1000.0
2025-11-24,54.2,42.0,3.8,1.0,1000.0
2025-12-01,52.7,43.8,3.5,1.0,1000.0
2025-12-08,54.9,42.1,3.0,1.0,1000.0
2025-12-15,54.3,41.5,4.2,1.0,1000.0
2025-12-22,53.4,42.2,4.4,1.0,1000.0
2025-12-29,62.0,35.0,3.0,1.0,1000.0
2026-01-05,62.0,35.0,3.0,1.0,1000.0
2026-01-12,56.8,37.8,5.4,1.0,1000.0
2026-01-19,55.3,40.5,4.2,1.0,1000.0
2026-01-26,53.1,42.1,4.8,1.0,1000.0
2026-02-02,54.5,41.8,3.7,1.0,1000.0
2026-02-09,55.8,39.1,5.1,1.0,1000.0
2026-02-16,63.0,26.0,11.0,1.0,1000.0
